id,page_views,user_group
1377,94,Group1
1378,94,Group1
1379,94,Group1
1380,94,Group1
1381,93,Group1
1382,93,Group1
1383,93,Group1
1384,93,Group1
1385,93,Group1
1386,93,Group1
1387,93,Group1
1388,92,Group1
1389,92,Group1
1390,92,Group1
1391,91,Group1
1392,91,Group1
1393,91,Group1
1394,91,Group1
1395,91,Group1
1396,90,Group1
1397,90,Group1
1398,90,Group1
1399,90,Group1
1400,89,Group1
1401,89,Group1
1402,89,Group1
1403,89,Group1
1404,89,Group1
1405,89,Group1
1406,89,Group1
1407,88,Group1
1408,88,Group1
1409,88,Group1
1410,88,Group1
1411,88,Group1
1412,88,Group1
1413,88,Group1
1414,88,Group1
1415,87,Group1
1416,86,Group1
1417,86,Group1
1418,86,Group1
1419,86,Group1
1420,86,Group1
1421,86,Group1
1422,86,Group1
1423,85,Group1
1424,85,Group1
1425,85,Group1
1426,85,Group1
1427,85,Group1
1428,84,Group1
1429,84,Group1
1430,84,Group1
1431,84,Group1
1432,84,Group1
1433,84,Group1
1434,83,Group1
1435,83,Group1
1436,83,Group1
1437,83,Group1
1438,83,Group1
1439,83,Group1
1440,83,Group1
1441,83,Group1
1442,82,Group1
1443,82,Group1
1444,82,Group1
1445,82,Group1
1446,82,Group1
1447,82,Group1
1448,82,Group1
1449,81,Group1
1450,81,Group1
1451,81,Group1
1452,81,Group1
1453,81,Group1
1454,81,Group1
1455,81,Group1
1456,80,Group1
1457,80,Group1
1458,80,Group1
1459,80,Group1
1460,80,Group1
1461,80,Group1
1462,80,Group1
1463,79,Group1
1464,79,Group1
1465,79,Group1
1466,79,Group1
1467,78,Group1
1468,78,Group1
1469,78,Group1
1470,78,Group1
1471,78,Group1
1472,78,Group1
1473,78,Group1
1474,78,Group1
1475,77,Group1
1476,77,Group1
1477,77,Group1
1478,77,Group1
1479,77,Group1
1480,77,Group1
1481,77,Group1
1482,77,Group1
1483,77,Group1
1484,76,Group1
1485,76,Group1
1486,76,Group1
1487,76,Group1
1488,75,Group1
1489,75,Group1
1490,75,Group1
1491,75,Group1
1492,75,Group1
1493,75,Group1
1494,75,Group1
1495,75,Group1
1496,74,Group1
1497,74,Group1
1498,74,Group1
1499,74,Group1
1500,73,Group1
1501,73,Group1
1502,73,Group1
1503,73,Group1
1504,73,Group1
1505,73,Group1
1506,73,Group1
1507,73,Group1
1508,73,Group1
1509,73,Group1
1510,73,Group1
1511,72,Group1
1512,72,Group1
1513,72,Group1
1514,72,Group1
1515,72,Group1
1516,72,Group1
1517,72,Group1
1518,72,Group1
1519,72,Group1
1520,72,Group1
1521,71,Group1
1522,71,Group1
1523,71,Group1
1524,71,Group1
1525,71,Group1
1526,71,Group1
1527,71,Group1
1528,71,Group1
1529,70,Group1
1530,70,Group1
1531,70,Group1
1532,70,Group1
1533,70,Group1
1534,70,Group1
1535,70,Group1
1536,70,Group1
1537,70,Group1
1538,70,Group1
1539,70,Group1
1540,70,Group1
1541,69,Group1
1542,69,Group1
1543,69,Group1
1544,69,Group1
1545,69,Group1
1546,69,Group1
1547,68,Group1
1548,68,Group1
1549,68,Group1
1550,68,Group1
1551,68,Group1
1552,68,Group1
1553,68,Group1
1554,68,Group1
1555,68,Group1
1556,68,Group1
1557,67,Group1
1558,67,Group1
1559,67,Group1
1560,67,Group1
1561,67,Group1
1562,67,Group1
1563,67,Group1
1564,67,Group1
1565,66,Group1
1566,66,Group1
1567,66,Group1
1568,66,Group1
1569,66,Group1
1570,66,Group1
1571,66,Group1
1572,65,Group1
1573,65,Group1
1574,65,Group1
1575,65,Group1
1576,65,Group1
1577,64,Group1
1578,64,Group1
1579,64,Group1
1580,64,Group1
1581,63,Group1
1582,63,Group1
1583,63,Group1
1584,63,Group1
1585,63,Group1
1586,63,Group1
1587,63,Group1
1588,62,Group1
1589,62,Group1
1590,62,Group1
1591,62,Group1
1592,62,Group1
1593,62,Group1
1594,62,Group1
1595,62,Group1
1596,62,Group1
1597,62,Group1
1598,62,Group1
1599,62,Group1
1600,62,Group1
1601,62,Group1
1602,62,Group1
1603,62,Group1
1604,61,Group1
1605,61,Group1
1606,61,Group1
1607,61,Group1
1608,61,Group1
1609,61,Group1
1610,61,Group1
1611,61,Group1
1612,61,Group1
1613,61,Group1
1614,61,Group1
1615,61,Group1
1616,61,Group1
1617,61,Group1
1618,61,Group1
38096,13817,Group2
38097,12871,Group2
38098,11370,Group2
38099,11172,Group2
38100,11019,Group2
38101,9630,Group2
38102,8439,Group2
38103,8001,Group2
38104,7619,Group2
38105,7520,Group2
