id,sent_requests,user_group
1449,3,Group2
1450,3,Group2
1451,3,Group2
1452,3,Group2
1453,3,Group1
1454,3,Group2
1455,3,Group2
1456,3,Group2
1457,3,Group2
1458,3,Group2
1459,3,Group1
1460,3,Group2
1461,3,Group1
1462,3,Group2
1463,3,Group1
1464,3,Group2
1465,3,Group2
1466,3,Group2
1467,3,Group2
1468,3,Group2
1469,3,Group2
1470,3,Group2
1471,3,Group2
1472,3,Group2
1473,3,Group2
1474,3,Group2
1475,3,Group1
1476,3,Group2
1477,3,Group1
1478,3,Group2
1479,3,Group1
1480,3,Group1
1481,3,Group2
1482,3,Group1
1483,3,Group2
1484,3,Group2
1485,3,Group1
1486,3,Group2
1487,3,Group2
1488,3,Group2
1489,3,Group2
1490,3,Group1
1491,3,Group1
1492,3,Group2
1493,3,Group2
1494,3,Group1
1495,3,Group2
1496,3,Group1
1497,3,Group2
1498,3,Group1
1499,3,Group1
1500,3,Group1
1501,3,Group2
1502,3,Group1
1503,3,Group1
1504,3,Group1
1505,3,Group2
1506,3,Group1
1507,3,Group2
1508,3,Group2
1509,3,Group1
1510,3,Group2
1511,3,Group2
1512,3,Group2
1513,3,Group1
1514,3,Group2
1515,3,Group2
1516,3,Group1
1517,3,Group2
1518,3,Group2
1519,3,Group2
1520,3,Group1
1521,3,Group2
1522,3,Group1
1523,3,Group2
1524,3,Group1
1525,2,Group2
1526,2,Group1
1527,2,Group1
1528,2,Group1
1529,2,Group1
1530,2,Group1
1531,2,Group1
1532,2,Group1
1533,2,Group2
1534,2,Group1
1535,2,Group1
1536,2,Group2
1537,2,Group1
1538,2,Group1
1539,2,Group1
1540,2,Group1
1541,2,Group2
1542,2,Group2
1543,2,Group1
1544,2,Group1
1545,2,Group2
1546,2,Group1
1547,2,Group1
1548,2,Group1
1549,2,Group2
1550,2,Group2
1551,2,Group2
1552,2,Group2
1553,2,Group2
1554,2,Group1
1555,2,Group2
1556,2,Group1
1557,2,Group2
1558,2,Group2
1559,2,Group2
1560,2,Group1
1561,2,Group2
1562,2,Group1
1563,2,Group2
1564,2,Group1
1565,2,Group2
1566,2,Group2
1567,2,Group2
1568,2,Group2
1569,2,Group2
1570,2,Group1
1571,2,Group2
1572,2,Group1
1573,2,Group2
1574,2,Group2
1575,2,Group2
1576,2,Group1
1577,2,Group2
1578,2,Group2
1579,2,Group2
1580,2,Group1
1581,2,Group1
1582,2,Group2
1583,2,Group2
1584,2,Group2
1585,2,Group2
1586,2,Group2
1587,2,Group2
1588,2,Group1
1589,2,Group2
1590,2,Group1
1591,2,Group2
1592,2,Group1
1593,2,Group2
1594,2,Group2
1595,2,Group2
1596,2,Group1
1597,2,Group2
1598,2,Group1
1599,2,Group2
1600,2,Group2
1601,2,Group1
1602,2,Group2
1603,2,Group2
1604,2,Group2
1605,2,Group2
1606,2,Group1
1607,2,Group2
1608,2,Group1
1609,2,Group1
1610,2,Group1
1611,2,Group2
1612,2,Group2
1613,2,Group2
1614,2,Group1
1615,2,Group2
1616,2,Group2
1617,2,Group1
1618,2,Group1
1619,2,Group2
1620,2,Group2
1621,2,Group2
1622,2,Group1
1623,2,Group1
1624,2,Group2
1625,2,Group1
1626,2,Group1
1627,2,Group2
1628,2,Group1
1629,2,Group1
1630,2,Group1
1631,2,Group2
1632,2,Group2
1633,2,Group1
1634,2,Group1
1635,2,Group1
1636,2,Group2
1637,2,Group1
1638,2,Group2
1639,2,Group1
1640,2,Group2
1641,2,Group1
1642,2,Group1
1643,2,Group1
1644,2,Group2
1645,2,Group1
1646,2,Group2
1647,2,Group1
1648,2,Group2
1649,2,Group1
1650,2,Group1
1651,2,Group1
1652,2,Group1
